,良い/悪い,好きな/嫌いな,繊細な/無骨な,明るい/暗い,陽気な/陰気な,騒がしい/静かな,動的な/静的な,緊張した/緩んだ,軽い/重い,派手な/地味な,鋭い/鈍い,暖かい/冷たい,丈夫な/華奢な,湿った/乾いた,高級感/安っぽい,硬い/柔らかい
1,3,3,2,3,2,2,3,3,1,3,1,4,3,4,3,3
2,4,4,4,3,2,1,2,1,1,2,1,5,5,5,4,1
3,4,4,2,4,4,4,2,2,2,4,1,5,5,5,3,2
4,2,2,1,5,4,4,4,1,4,4,1,5,5,5,3,1
5,2,2,2,3,4,3,1,2,2,3,1,4,4,4,3,1
6,4,4,1,4,5,5,5,4,2,4,1,3,5,3,5,3
7,3,3,3,3,3,4,4,1,2,3,1,4,3,5,2,2
8,4,3,2,4,4,4,5,1,2,4,1,4,1,5,4,1
9,3,4,2,2,1,1,1,1,1,1,1,5,3,5,5,1
10,2,1,1,1,4,4,2,2,2,4,2,4,4,4,3,2
11,3,4,2,2,2,2,2,2,2,3,1,2,4,3,4,3
12,4,4,2,4,4,2,4,1,4,5,1,4,2,4,2,1
13,4,2,2,2,2,1,1,1,4,1,1,5,2,4,2,1
14,4,2,1,2,3,5,5,1,2,3,1,4,4,5,1,3
15,4,3,2,4,4,4,5,1,5,5,1,5,3,1,3,2
16,4,4,4,3,3,3,3,2,3,3,1,4,3,3,3,2
17,3,4,2,4,4,4,2,2,2,4,2,4,2,4,4,2
18,4,3,2,3,4,5,3,1,1,3,1,4,4,3,2,1
19,3,4,2,3,2,1,2,2,2,2,2,5,4,5,3,2
20,4,4,2,4,3,4,4,2,2,4,1,4,4,3,4,2
21,3,3,2,4,4,4,4,1,2,4,2,4,4,4,2,2
22,3,3,2,3,4,3,3,2,3,3,2,4,3,3,3,2
23,1,2,4,4,4,2,5,1,2,2,2,4,2,4,1,1
24,3,3,2,4,4,4,4,2,2,4,2,4,4,2,3,3
25,1,1,2,4,4,2,4,2,2,4,2,3,1,3,3,2
26,2,2,2,2,2,4,2,3,1,3,1,3,4,3,2,3
27,2,2,4,3,3,3,4,2,1,2,1,4,1,2,5,1
28,3,3,4,2,3,4,4,2,2,4,2,4,4,2,4,2
29,2,2,1,4,4,4,4,1,4,4,1,5,5,3,1,1
30,1,2,1,4,4,4,4,1,1,2,1,5,5,4,2,1
31,2,1,2,1,1,1,3,4,2,2,1,2,5,4,4,1
32,2,2,2,2,2,4,2,2,2,2,2,4,4,5,1,2
33,4,4,1,4,4,4,4,1,1,2,1,5,4,4,4,1
34,1,2,3,3,3,4,3,1,2,3,1,3,3,3,3,1
35,2,3,1,4,5,2,5,1,1,1,1,5,5,1,1,1
36,4,4,1,3,5,4,4,1,1,4,2,5,5,2,2,1
37,2,2,2,2,2,1,2,2,1,2,2,4,5,4,2,2
